Topic,Subtopic,Filename,Video Start Time,Video End Time
Opening Videos,,The Magic of Butterfly Scales,0:00,2:03
Exam Info,Midterm 1,Midterm 1 Info,2:03,4:28
Exam Info,Midterm 1,What's Covered (OLD),4:28,5:34
Exam Info,Midterm 1,Content of Exam,5:34,12:27
Exam Info,Midterm 1,Exam Procedure,12:27,23:45
Exam Info,Midterm 1,Exam Grading,23:45,26:33
Exam Info,Midterm 1,Remote Exams (Some Online Students),26:33,35:33
Newtonian Physics,Uniform Circular Motion,Banked Curve,35:33,43:08
Newtonian Physics,Uniform Circular Motion,Solving the Banked Curve,43:08,52:44
